tconst	averageRating	numVotes
tt0014624	6.9	6482
tt0014644	5.9	38
tt0014651	6.7	46
tt0014858	7.4	19
tt0014867	6.0	24
tt0014968	6.9	38
tt0014970	3.6	21
tt0014972	7.7	4563
tt0014977	3.7	55
tt0014978	6.4	146
tt0014985	6.4	24
tt0015004	7.9	31
tt0015015	6.0	35
tt0015016	7.2	2568
tt0015022	5.5	728
tt0015038	6.6	52
tt0015071	7.0	87
tt0015152	6.4	83
tt0015167	6.4	1163
tt0015185	5.3	11
tt0015209	6.7	21
tt0015232	6.9	46
tt0015233	5.8	10
tt0015256	7.7	15
tt0015273	6.5	15
tt0015289	6.0	264
tt0015290	8.1	16
tt0015295	4.6	7
tt0015311	5.7	17
tt0015339	5.7	120
tt0015344	4.6	12
tt0015349	7.5	79
tt0015352	7.3	11
tt0015355	4.4	35
tt0015451	7.3	22
tt0015504	5.4	35
tt0015570	6.0	40
tt0015612	6.0	97
tt0015613	5.0	11
tt0015644	6.4	15
tt0015662	6.3	84
tt0015694	5.3	21
tt0015719	5.2	12
tt0015813	5.9	23
tt0015824	5.8	7
tt0015851	6.1	21
tt0015873	7.7	1246
tt0015900	5.7	39
tt0015997	6.8	20
tt0016039	7.0	6146
tt0016049	6.1	145
tt0016051	6.6	49
tt0016060	5.4	43
tt0016114	6.2	69
tt0016167	6.4	18
tt0016186	6.5	26
tt0016241	5.2	285
tt0016276	6.5	407
tt0016288	6.3	255
tt0016295	6.7	12
tt0016310	6.5	458
tt0016346	7.3	121
tt0016382	7.2	23
tt0016469	5.9	157
tt0016480	6.9	380
tt0016523	7.4	17
tt0016534	6.6	99
tt0016553	6.6	20
tt0016646	6.7	681
tt0016695	5.8	27
tt0016706	7.3	54
tt0016755	5.6	7
tt0016772	4.9	14
tt0016806	7.3	24
tt0016815	5.0	35
tt0016822	6.9	1121
tt0016874	7.5	73
tt0016875	7.4	33
tt0016878	5.4	23
tt0016906	5.2	25
tt0016915	6.3	91
tt0016923	5.6	17
tt0016972	6.4	50
tt0016989	6.2	50
tt0017004	6.4	350
tt0017033	7.0	108
tt0017082	6.1	288
tt0017089	5.0	72
tt0017100	6.5	49
tt0017117	6.7	27
tt0017128	7.4	3175
tt0017137	7.2	139
tt0017234	5.2	17
tt0017252	5.7	39
tt0017259	6.9	26
tt0017293	7.0	198
tt0017307	6.7	18
tt0017309	5.1	54
